"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: capacity","Param: coder"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator","avgt",1,25,643.224982,1.556111,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate","avgt",1,25,581.186421,1.401742,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate.norm","avgt",1,25,392.000231,0.000149,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.count","avgt",1,25,60.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.time","avgt",1,25,111.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator","avgt",1,25,622.460730,3.241011,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate","avgt",1,25,919.278578,4.765997,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.alloc.rate.norm","avgt",1,25,600.000148,0.000135,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.count","avgt",1,25,93.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.plus_operator:·gc.time","avgt",1,25,142.000000,NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer","avgt",1,25,813.410294,0.984957,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate","avgt",1,25,947.306911,1.147694,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate.norm","avgt",1,25,808.000174,0.000169,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.count","avgt",1,25,95.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.time","avgt",1,25,142.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer","avgt",1,25,917.168193,0.809401,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate","avgt",1,25,1846.640411,1.629486,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.alloc.rate.norm","avgt",1,25,1776.000174,0.000182,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.count","avgt",1,25,187.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_buffer:·gc.time","avgt",1,25,276.000000,NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder","avgt",1,25,732.682362,1.267713,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.alloc.rate","avgt",1,25,1041.271953,1.805563,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.alloc.rate.norm","avgt",1,25,800.000264,0.000170,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.count","avgt",1,25,106.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.time","avgt",1,25,157.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder","avgt",1,25,826.627545,6.813007,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.alloc.rate","avgt",1,25,2039.906816,16.754735,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.alloc.rate.norm","avgt",1,25,1768.000196,0.000178,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.count","avgt",1,25,209.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_builder:·gc.time","avgt",1,25,305.000000,NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format","avgt",1,25,1197.243047,5.060193,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.alloc.rate","avgt",1,25,1234.973898,7.721942,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.alloc.rate.norm","avgt",1,25,1550.400373,8.988975,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.count","avgt",1,25,127.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.time","avgt",1,25,189.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format","avgt",1,25,1314.954882,13.561036,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.alloc.rate","avgt",1,25,1833.726583,19.291121,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.alloc.rate.norm","avgt",1,25,2528.000377,0.000299,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.count","avgt",1,25,187.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringConcatenationBenchmark.string_format:·gc.time","avgt",1,25,275.000000,NaN,"ms",128,UTF16
